"Name","Status","DisplayName"
"AarSvc_32e6a6a5","Stopped","Agent Activation Runtime_32e6a6a5"
"AdobeARMservice","Stopped","Adobe Acrobat Update Service"
"AESMService","Stopped","Intel? SGX AESM"
"AJRouter","Stopped","AllJoyn Router Service"
"ALG","Stopped","Application Layer Gateway Service"
"ApHidMonitorService","Running","Alps HID Monitor Service"
"AppIDSvc","Stopped","Application Identity"
"Appinfo","Running","Application Information"
"AppMgmt","Running","Application Management"
"AppReadiness","Stopped","App Readiness"
"AppVClient","Stopped","Microsoft App-V Client"
"AppXSvc","Running","AppX Deployment Service (AppXSVC)"
"AssignedAccessManagerSvc","Stopped","AssignedAccessManager Service"
"aswbIDSAgent","Running","aswbIDSAgent"
"AudioEndpointBuilder","Running","Windows Audio Endpoint Builder"
"Audiosrv","Running","Windows Audio"
"autotimesvc","Stopped","Cellular Time"
"avast! Antivirus","Running","Avast Antivirus"
"avast! Tools","Running","Avast Tools"
"AvastWscReporter","Running","AvastWscReporter"
"AxInstSV","Stopped","ActiveX Installer (AxInstSV)"
"BcastDVRUserService_32e6a6a5","Stopped","GameDVR and Broadcast User Service_32e6a6a5"
"BDESVC","Stopped","BitLocker Drive Encryption Service"
"BFE","Running","Base Filtering Engine"
"BITS","Stopped","Background Intelligent Transfer Service"
"BluetoothUserService_32e6a6a5","Running","Bluetooth User Support Service_32e6a6a5"
"brave","Stopped","Brave Update Service (brave)"
"bravem","Stopped","Brave Update Service (bravem)"
"BraveVpnService","Stopped","Brave Vpn Service (BraveVpnService)"
"BraveVpnWireguardService","Stopped","Brave Vpn Wireguard Service (BraveVpnWireguardService)"
"BrokerInfrastructure","Running","Background Tasks Infrastructure Service"
"BTAGService","Running","Bluetooth Audio Gateway Service"
"BthAvctpSvc","Running","AVCTP service"
"bthserv","Running","Bluetooth Support Service"
"camsvc","Running","Capability Access Manager Service"
"CaptureService_32e6a6a5","Stopped","CaptureService_32e6a6a5"
"cbdhsvc_32e6a6a5","Running","Clipboard User Service_32e6a6a5"
"CDPSvc","Running","Connected Devices Platform Service"
"CDPUserSvc_32e6a6a5","Running","Connected Devices Platform User Service_32e6a6a5"
"CertPropSvc","Stopped","Certificate Propagation"
"ClickToRunSvc","Running","Microsoft Office Click-to-Run Service"
"ClipSVC","Running","Client License Service (ClipSVC)"
"CloudBackupRestoreSvc_32e6a6a5","Stopped","Cloud Backup and Restore Service_32e6a6a5"
"cloudidsvc","Stopped","Microsoft Cloud Identity Service"
"com.docker.service","Stopped","Docker Desktop Service"
"COMSysApp","Stopped","COM+ System Application"
"ConsentUxUserSvc_32e6a6a5","Stopped","ConsentUX User Service_32e6a6a5"
"CoreMessagingRegistrar","Running","CoreMessaging"
"CredentialEnrollmentManagerUserSvc_32e6a6a5","Stopped","CredentialEnrollmentManagerUserSvc_32e6a6a5"
"CryptSvc","Running","Cryptographic Services"
"CscService","Stopped","Offline Files"
"CxMonSvc","Running","CxMonSvc"
"CxUtilSvc","Running","CxUtilSvc"
"DcomLaunch","Running","DCOM Server Process Launcher"
"dcsvc","Stopped","Declared Configuration(DC) service"
"defragsvc","Stopped","Optimize drives"
"DeviceAssociationBrokerSvc_32e6a6a5","Stopped","DeviceAssociationBroker_32e6a6a5"
"DeviceAssociationService","Running","Device Association Service"
"DeviceInstall","Stopped","Device Install Service"
"DevicePickerUserSvc_32e6a6a5","Stopped","DevicePicker_32e6a6a5"
"DevicesFlowUserSvc_32e6a6a5","Running","DevicesFlow_32e6a6a5"
"DevQueryBroker","Running","DevQuery Background Discovery Broker"
"Dhcp","Running","DHCP Client"
"diagnosticshub.standardcollector.service","Stopped","Microsoft (R) Diagnostics Hub Standard Collector Service"
"diagsvc","Stopped","Diagnostic Execution Service"
"DiagTrack","Running","Connected User Experiences and Telemetry"
"DialogBlockingService","Stopped","DialogBlockingService"
"DispBrokerDesktopSvc","Running","Display Policy Service"
"DisplayEnhancementService","Running","Display Enhancement Service"
"DmEnrollmentSvc","Stopped","Device Management Enrollment Service"
"dmwappushservice","Stopped","Device Management Wireless Application Protocol (WAP) Push message Routing Service"
"Dnscache","Running","DNS Client"
"DolbyDAXAPI","Stopped","Dolby DAX API Service"
"DoSvc","Running","Delivery Optimization"
"dot3svc","Stopped","Wired AutoConfig"
"DPS","Running","Diagnostic Policy Service"
"DsmSvc","Stopped","Device Setup Manager"
"DsSvc","Running","Data Sharing Service"
"DusmSvc","Running","Data Usage"
"EapHost","Stopped","Extensible Authentication Protocol"
"edgeupdate","Stopped","Microsoft Edge Update Service (edgeupdate)"
"edgeupdatem","Stopped","Microsoft Edge Update Service (edgeupdatem)"
"EFS","Stopped","Encrypting File System (EFS)"
"embeddedmode","Stopped","Embedded Mode"
"EntAppSvc","Stopped","Enterprise App Management Service"
"esifsvc","Running","ESIF Upper Framework Service"
"ETDService","Running","ELAN Service"
"EventLog","Running","Windows Event Log"
"EventSystem","Running","COM+ Event System"
"fdPHost","Stopped","Function Discovery Provider Host"
"FDResPub","Stopped","Function Discovery Resource Publication"
"fhsvc","Stopped","File History Service"
"FileSyncHelper","Stopped","FileSyncHelper"
"FMAPOService","Running","Fortemedia APO Control Service"
"FontCache","Running","Windows Font Cache Service"
"fpCsEvtSvc","Running","fpCsEvtSvc"
"FrameServer","Stopped","Windows Camera Frame Server"
"FrameServerMonitor","Stopped","Windows Camera Frame Server Monitor"
"GameInputSvc","Stopped","GameInput Service"
"GoogleChromeElevationService","Stopped","Google Chrome Elevation Service (GoogleChromeElevationService)"
"GoogleUpdaterInternalService148.0.7730.0","Stopped","Google Updater Internal Service (GoogleUpdaterInternalService148.0.7730.0)"
"GoogleUpdaterService148.0.7730.0","Stopped","Google Updater Service (GoogleUpdaterService148.0.7730.0)"
"gpsvc","Running","Group Policy Client"
"GraphicsPerfSvc","Stopped","GraphicsPerfSvc"
"hidserv","Stopped","Human Interface Device Service"
"hns","Running","Host Network Service"
"hostcontrolsvc","Running","Credential Vault Host Control Service"
"hoststoragesvc","Running","Credential Vault Host Storage"
"hp3ddgsrv","Running","HP 3DDG Service"
"HvHost","Stopped","HV Host Service"
"IBMPMSVC","Stopped","Lenovo PM Service"
"icssvc","Stopped","Windows Mobile Hotspot Service"
"igccservice","Running","Intel(R) Graphics Command Center Service"
